food_id,food_name,brand,categories,countries,collection_location,source,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sugar_g,sodium_mg,saturated_fat_g,nutriscore,nova_group,serving_size,quantity,salt_g
167548,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",,,,USDA reference,USDA FoodData Central SR Legacy,,9.8,62.2,20.0,4.2,,328.0,8.36,,,,,
167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",,,,USDA reference,USDA FoodData Central SR Legacy,,7.29,45.06,43.55,8.1,0.46,909.0,9.809,,,,,
167550,"Snacks, popcorn, cakes",,,,USDA reference,USDA FoodData Central SR Legacy,,9.7,80.1,3.1,2.9,0.72,288.0,0.92,,,,,
167551,"Snacks, popcorn, caramel-coated, with peanuts",,,,USDA reference,USDA FoodData Central SR Legacy,,6.4,80.7,7.8,3.8,45.36,177.0,2.73,,,,,
167552,"Snacks, popcorn, caramel-coated, without peanuts",,,,USDA reference,USDA FoodData Central SR Legacy,,3.8,79.1,12.8,5.2,53.19,206.0,2.88,,,,,
167553,"Snacks, potato chips, made from dried potatoes, reduced fat",,,,USDA reference,USDA FoodData Central SR Legacy,,4.56,64.76,26.14,3.2,0.63,450.0,4.553,,,,,
167554,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",,,,USDA reference,USDA FoodData Central SR Legacy,,6.6,51.3,37.0,1.2,,541.0,7.12,,,,,
167555,"Snacks, pretzels, hard, plain, salted",,,,USDA reference,USDA FoodData Central SR Legacy,,10.04,80.39,2.93,3.4,2.21,1240.0,0.727,,,,,
167556,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",,,,USDA reference,USDA FoodData Central SR Legacy,,7.5,70.9,16.7,2.4,38.8,569.0,5.39,,,,,
167557,"Snacks, rice cakes, brown rice, sesame seed",,,,USDA reference,USDA FoodData Central SR Legacy,,7.6,81.5,3.8,5.4,,227.0,1.1,,,,,
167558,"Snacks, tortilla chips, plain, white corn, salted",,,,USDA reference,USDA FoodData Central SR Legacy,,7.1,67.78,20.68,5.4,0.78,328.0,5.664,,,,,
167559,"Snacks, tortilla chips, nacho cheese",,,,USDA reference,USDA FoodData Central SR Legacy,,7.36,60.81,27.42,5.1,2.59,691.0,9.089,,,,,
167560,"Snacks, tortilla chips, ranch-flavor",,,,USDA reference,USDA FoodData Central SR Legacy,,7.19,62.74,24.63,4.0,3.03,519.0,7.047,,,,,
167561,"Snacks, trail mix, regular",,,,USDA reference,USDA FoodData Central SR Legacy,,13.8,44.9,29.4,,,229.0,12.53,,,,,
167562,"Candies, ALMOND JOY Candy Bar",,,,USDA reference,USDA FoodData Central SR Legacy,,4.13,59.51,26.93,5.0,48.34,142.0,5.26,,,,,
167563,"Candies, TWIZZLERS CHERRY BITES",,,,USDA reference,USDA FoodData Central SR Legacy,,2.97,79.38,1.7,0.1,,261.0,0.49,,,,,
167564,"Candies, NESTLE, BIT-O'-HONEY Candy Chews",,,,USDA reference,USDA FoodData Central SR Legacy,,2.0,80.89,7.5,0.2,48.0,295.0,1.03,,,,,
167565,"Candies, NESTLE, BUTTERFINGER Bar",,,,USDA reference,USDA FoodData Central SR Legacy,,5.4,72.9,18.9,2.0,45.9,230.0,5.119,,,,,
167566,"Candies, caramels, chocolate-flavor roll",,,,USDA reference,USDA FoodData Central SR Legacy,,1.59,87.73,3.31,0.1,56.32,44.0,1.929,,,,,
167567,"Baking chocolate, unsweetened, liquid",,,,USDA reference,USDA FoodData Central SR Legacy,,12.1,36.2,47.7,18.1,0.0,12.0,9.23,,,,,
167568,"Baking chocolate, unsweetened, squares",,,,USDA reference,USDA FoodData Central SR Legacy,,14.32,28.42,52.31,16.6,0.91,24.0,16.068,,,,,
167569,"Candies, confectioner's coating, yogurt",,,,USDA reference,USDA FoodData Central SR Legacy,,5.87,63.94,27.0,0.0,62.36,88.0,0.526,,,,,
167570,"Candies, confectioner's coating, peanut butter",,,,USDA reference,USDA FoodData Central SR Legacy,,18.3,46.88,29.8,5.0,38.3,250.0,12.829,,,,,
167571,"Candies, white chocolate",,,,USDA reference,USDA FoodData Central SR Legacy,,5.87,59.24,32.09,0.2,59.0,90.0,9.097,,,,,
167572,"Ice creams, vanilla, light",,,,USDA reference,USDA FoodData Central SR Legacy,,4.78,29.46,4.83,0.3,22.12,74.0,1.281,,,,,
167573,"Ice creams, vanilla, rich",,,,USDA reference,USDA FoodData Central SR Legacy,,3.5,22.29,16.2,0.0,20.65,61.0,4.46,,,,,
167574,"Desserts, flan, caramel custard, prepared-from-recipe",,,,USDA reference,USDA FoodData Central SR Legacy,,4.53,22.78,4.03,0.0,22.78,53.0,1.266,,,,,
167575,"Ice creams, vanilla",,,,USDA reference,USDA FoodData Central SR Legacy,,3.5,23.6,11.0,0.7,21.22,80.0,2.969,,,,,
167576,"Ice creams, vanilla, light, soft-serve",,,,USDA reference,USDA FoodData Central SR Legacy,,4.9,21.8,2.6,0.0,18.69,70.0,0.76,,,,,
167577,"Sherbet, orange",,,,USDA reference,USDA FoodData Central SR Legacy,,1.1,30.4,2.0,1.3,24.32,46.0,0.53,,,,,
167578,"Candies, fudge, peanut butter, prepared-from-recipe",,,,USDA reference,USDA FoodData Central SR Legacy,,3.78,77.75,6.59,0.7,73.36,118.0,2.867,,,,,
167579,"Candies, fudge, vanilla, prepared-from-recipe",,,,USDA reference,USDA FoodData Central SR Legacy,,1.05,82.15,5.45,0.0,79.77,47.0,1.399,,,,,
167580,"Candies, fudge, vanilla with nuts",,,,USDA reference,USDA FoodData Central SR Legacy,,3.0,74.61,13.69,0.9,71.0,42.0,2.454,,,,,
167581,"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts",,,,USDA reference,USDA FoodData Central SR Legacy,,9.7,53.0,34.0,9.7,43.0,36.0,,,,,,
167582,"Candies, NESTLE, BABY RUTH Bar",,,,USDA reference,USDA FoodData Central SR Legacy,,5.4,64.8,21.6,2.0,54.0,230.0,5.557,,,,,
167583,"Candies, TWIZZLERS Strawberry Twists Candy",,,,USDA reference,USDA FoodData Central SR Legacy,,2.56,79.16,2.32,0.0,39.64,287.0,,,,,,
167584,"Syrups, table blends, pancake, with butter",,,,USDA reference,USDA FoodData Central SR Legacy,,0.0,72.43,0.09,0.0,72.25,287.0,0.0,,,,,
167585,"Ice creams, chocolate, light",,,,USDA reference,USDA FoodData Central SR Legacy,,5.0,25.7,7.19,0.8,24.71,71.0,2.055,,,,,
167586,"Candies, NESTLE, CHUNKY Bar",,,,USDA reference,USDA FoodData Central SR Legacy,,7.5,60.4,27.5,2.5,52.5,38.0,,,,,,
167587,"Candies, milk chocolate",,,,USDA reference,USDA FoodData Central SR Legacy,,7.65,59.4,29.66,3.4,51.5,79.0,7.186,,,,,
167588,"Puddings, banana, dry mix, instant, prepared with 2% milk",,,,USDA reference,USDA FoodData Central SR Legacy,,2.76,19.74,1.7,0.0,,296.0,0.46,,,,,
