food_id,food_name,brand,categories,countries,collection_location,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sugar_g,sodium_mg,saturated_fat_g,salt_g,nutriscore,nova_group,serving_size,quantity,source
8901262010016,Amul Pasteurized Butter,Amul,Butters,"Bahrain, Hong Kong, India, Kuwait, Malaysia, New Zealand, Oman, Qatar, Singapore, Sri Lanka, United Arab Emirates, United States",India,714.28571,0.0,0.0,78.57143,0.0,0.0,0.821428,50.0,2.05357,e,4.0,100g,100.0 g,Open Food Facts
8901764042904,Thumsup,Coca-Cola,Sodas,India,India,39.0,0.0,9.7,0.0,0.0,9.5,0.022,0.0,0.055,e,,100ml,1 litter,Open Food Facts
8901262200196,Amul Masti Spiced Buttermilk 200ml,Amul,"Beverages, Milks, Buttermilks","India, United States",India,28.5,1.5,1.8,1.5,,1.8,0.25,0.95,0.625,c,4.0,200mL,200mL,Open Food Facts
8906010502119,Chataka pataka,Balaji,"Crisps, Chataka pataka","India, United States",India,551.0,6.8,55.5,32.7,1.0,1.0,0.4,15.0,1.0,d,,,25,Open Food Facts
8901764032707,Sprite,Coca Cola,"Artificially sweetened beverages, Sodas, Still fruit soft drink with reduced sugar and with 10-50% of fruit juice, Sweetened beverages",India,India,40.0,0.0,10.0,0.0,,9.8,0.014,,0.035,e,4.0,200ml,600 ml,Open Food Facts
8906010502294,Flaming hot nachos,,Crisps,"India, United Kingdom",India,557.0,9.0,57.0,30.9,,0.1,0.716,14.0,1.79,e,4.0,,,Open Food Facts
8906010500078,Balaji Farali Chivda,Balaji Namkeen,Snacks,India,India,589.0,15.2,8.0,38.9,7.6,8.0,0.404,14.0,1.01,d,3.0,,22g,Open Food Facts
8901491366052,Puffcorn,Kurkure,"Crackers (Appetizers), Corn chips, Puffed salty snacks",India,India,555.0,6.0,56.2,34.5,,1.0,0.892,16.0,2.23,e,4.0,,58 g,Open Food Facts
8901719135248,Krackjack,Parle,Biscuits,India,India,489.0,6.8,70.5,19.9,,19.6,0.371,9.4,0.9275,e,4.0,100 g,56.7g,Open Food Facts
8906010501570,Balaji Wafers Crunchex,Balaji,"Crisps, Salty snacks made from potato, Kurkure",India,India,545.0,7.5,55.0,30.7,9.3,3.8,0.000967,14.4,0.0024175,d,4.0,,32g,Open Food Facts
8996001312506,Malkist Cheese Flavoured Crunchy Layered Cracker Biscuits,Mayora,"Biscuits, Crackers (Appetizers), cream-biscuit",India,India,491.0,7.7,63.7,22.8,,16.5,0.543,15.3,1.3575,e,4.0,1 biscuit (18 g),144g,Open Food Facts
8901058005233,Kitkat mini chocolate coated wafer,"KitKat, Nestle nutrition","Chocolate candies, Bars, Chocolate biscuits, Dark chocolate bar",India,India,438.0,6.4,47.4,24.8,0.0,35.1,0.0974,24.5,0.2435,e,4.0,11.9 g,11.9g,Open Food Facts
8902080104581,Pepsi,Pepsi Cola,"Carbonated waters, Carbonated soft drinks without fruit juice, Cola with sugar, Diet cola soft drink, Sweetened beverages",India,India,43.0,0.0,10.9,0.0,,10.9,0.003,0.0,0.0075,e,4.0,200ml,400ml,Open Food Facts
8901063023901,Marie Gold,Britannia,"Biscuits, Snack biscuit with fruits filling",India,India,445.0,8.4,78.9,10.7,,21.9,0.319,5.2,0.7975,e,4.0,,250,Open Food Facts
8901030921797,kissan fresh tomato,"Kissan, Unilever",Tomato Ketchup,India,India,133.0,1.1,31.0,0.4,0.6,55.2,0.948,0.03,2.37,e,4.0,,,Open Food Facts
8901719135118,MONACO,Parle,"Appetizers, Biscuits, Monaco-biscuit",India,India,492.0,7.9,68.0,20.9,0.0,8.4,0.0,9.7,0.0,d,3.0,52.3,,Open Food Facts
8901063162532,Marie gold,Britannia,Biscuits,India,India,445.0,7.9,79.5,10.6,0.0,21.2,0.0,5.1,0.0,d,,,33g,Open Food Facts
5025125000006,White Ciabattin,Jason's Sourdough,"Sourdough breads, White breads","Ireland, United Kingdom, United States",UK,230.0,10.1,44.1,0.8,2.9,2.4,0.362,0.1,0.92,b,3.0,1 slice (48 g),580 g,Open Food Facts
5025125000037,Sourdough Grains & Seeds,Jason's,"Sliced breads, Vegan, Vegetarian",United Kingdom,UK,237.0,10.7,40.2,2.7,4.7,1.4,0.336,0.3,0.84,a,3.0,1 serving (100 g),580 g,Open Food Facts
5025125000112,Proper Sourdough,Jason's,Sourdough breads,United Kingdom,UK,237.777777777778,9.7,46.4,0.7,3.0,2.1,0.315,0.1,0.8,b,3.0,1 portion (100 g),450 g,Open Food Facts
7622210584724,Dark chocolate,GREEN & BLACK'S ORGANIC,"Chocolate candies, Dark chocolates","Belgium, France, Ireland, United Kingdom",UK,600.169959634586,10.0,24.0,50.0,13.0,14.0,0.051,30.0,0.1275,d,3.0,6 squares (18 g),90g,Open Food Facts
5740900404465,Spreadable,Lurpak,Butters,United Kingdom,UK,679.0,0.5,0.6,75.0,,0.6,0.354,35.0,0.885,e,2.0,1 serving (100 g),400g,Open Food Facts
7622210578464,Organic 70% Dark Chocolate Bar,Green & Black's,Dark chocolate bar with more than 70% cocoa,"France, Ireland, Sweden, United Kingdom",UK,580.0,9.1,36.0,42.0,10.0,29.0,1e-05,25.0,0.01,e,3.0,1 packet (90 g),90g,Open Food Facts
4088600246291,Seeded Sourdough Bread,Specially Selected,Sourdough breads,United Kingdom,UK,244.827586206897,8.62068965517241,42.9310344827586,3.79310344827586,5.51724137931035,0.517241379310345,0.0008620689655172,0.517241379310345,0.0021551724137931,a,3.0,1 portion (58 g),500g,Open Food Facts
5010029000016,Weetabix,Weetabix,Breakfast cereals,"France, Ireland, United Kingdom",UK,413.513513513513,12.0,69.0,2.0,10.0,4.2,0.112,0.6,0.28,a,3.0,2 biscuits (38 g),430 g,Open Food Facts
5025125000129,JASON'S SOURDOUGH,JASON'S SOURDOUGH,Sourdough sliced breads,"Ireland, United Kingdom, United States",UK,116.666666666667,9.33416303671437,44.803982576229,1.08898568761668,3.57809583074051,2.64467952706907,0.192439327940261,0.15556938394524,0.481098319850653,a,3.0,1 slice (64.28 g),450 g,Open Food Facts
