experiment,model,accuracy,macro_precision,macro_recall,macro_f1
Baseline (General Data Only),Logistic Regression,0.7857,0.8,0.8571,0.7887
Baseline (General Data Only),Random Forest Classifier,0.9286,0.9167,0.9524,0.9267
Baseline (General Data Only),Gradient Boosting Classifier,0.8571,0.85,0.9048,0.8598
Expanded (General + Indian Data),Logistic Regression,0.9493,0.9647,0.8636,0.903
Expanded (General + Indian Data),Random Forest Classifier,0.9447,0.9631,0.8584,0.8996
Expanded (General + Indian Data),Gradient Boosting Classifier,0.9677,0.9397,0.91,0.9239
